Country Name,Country Code,Series Name,Series Code,2020 [YR2020]
Afghanistan,AFG,People practicing open defecation (% of population),SH.STA.ODFC.ZS,10.78376141
Afghanistan,AFG,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,..
Afghanistan,AFG,Net migration,SM.POP.NETM,..
Afghanistan,AFG,Population growth (annual %),SP.POP.GROW,2.30381209309418
Afghanistan,AFG,Population density (people per sq. km of land area),EN.POP.DNST,59.6273948472873
Albania,ALB,People practicing open defecation (% of population),SH.STA.ODFC.ZS,0
Albania,ALB,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,..
Albania,ALB,Net migration,SM.POP.NETM,..
Albania,ALB,Population growth (annual %),SP.POP.GROW,-0.577942252408581
Albania,ALB,Population density (people per sq. km of land area),EN.POP.DNST,103.567262773723
Algeria,DZA,People practicing open defecation (% of population),SH.STA.ODFC.ZS,0
Algeria,DZA,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,..
Algeria,DZA,Net migration,SM.POP.NETM,..
Algeria,DZA,Population growth (annual %),SP.POP.GROW,1.83653350440444
Algeria,DZA,Population density (people per sq. km of land area),EN.POP.DNST,18.4113398560129
American Samoa,ASM,People practicing open defecation (% of population),SH.STA.ODFC.ZS,0.700868298
American Samoa,ASM,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,..
American Samoa,ASM,Net migration,SM.POP.NETM,..
American Samoa,ASM,Population growth (annual %),SP.POP.GROW,-0.208127919920259
American Samoa,ASM,Population density (people per sq. km of land area),EN.POP.DNST,275.985
Andorra,AND,People practicing open defecation (% of population),SH.STA.ODFC.ZS,0
Andorra,AND,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,..
Andorra,AND,Net migration,SM.POP.NETM,..
Andorra,AND,Population growth (annual %),SP.POP.GROW,0.154134127179226
Andorra,AND,Population density (people per sq. km of land area),EN.POP.DNST,164.393617021277
Angola,AGO,People practicing open defecation (% of population),SH.STA.ODFC.ZS,17.9683211
Angola,AGO,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,..
Angola,AGO,Net migration,SM.POP.NETM,..
Angola,AGO,Population growth (annual %),SP.POP.GROW,3.21853035205175
Angola,AGO,Population density (people per sq. km of land area),EN.POP.DNST,26.3626116948745
Antigua and Barbuda,ATG,People practicing open defecation (% of population),SH.STA.ODFC.ZS,..
Antigua and Barbuda,ATG,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,..
Antigua and Barbuda,ATG,Net migration,SM.POP.NETM,..
Antigua and Barbuda,ATG,Population growth (annual %),SP.POP.GROW,0.833667148911523
Antigua and Barbuda,ATG,Population density (people per sq. km of land area),EN.POP.DNST,222.563636363636
Argentina,ARG,People practicing open defecation (% of population),SH.STA.ODFC.ZS,..
Argentina,ARG,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,..
Argentina,ARG,Net migration,SM.POP.NETM,..
Argentina,ARG,Population growth (annual %),SP.POP.GROW,0.970053991438048
Argentina,ARG,Population density (people per sq. km of land area),EN.POP.DNST,16.580892611147
Armenia,ARM,People practicing open defecation (% of population),SH.STA.ODFC.ZS,0.010683577
Armenia,ARM,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,..
Armenia,ARM,Net migration,SM.POP.NETM,..
Armenia,ARM,Population growth (annual %),SP.POP.GROW,0.185983344838062
Armenia,ARM,Population density (people per sq. km of land area),EN.POP.DNST,104.082683526519
Aruba,ABW,People practicing open defecation (% of population),SH.STA.ODFC.ZS,..
Aruba,ABW,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,..
Aruba,ABW,Net migration,SM.POP.NETM,..
Aruba,ABW,Population growth (annual %),SP.POP.GROW,0.428016948088116
Aruba,ABW,Population density (people per sq. km of land area),EN.POP.DNST,593.144444444444
Australia,AUS,People practicing open defecation (% of population),SH.STA.ODFC.ZS,0
Australia,AUS,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,..
Australia,AUS,Net migration,SM.POP.NETM,..
Australia,AUS,Population growth (annual %),SP.POP.GROW,1.25869817155796
Australia,AUS,Population density (people per sq. km of land area),EN.POP.DNST,3.33944022506442
Austria,AUT,People practicing open defecation (% of population),SH.STA.ODFC.ZS,0
Austria,AUT,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,..
Austria,AUT,Net migration,SM.POP.NETM,..
Austria,AUT,Population growth (annual %),SP.POP.GROW,0.419000872876687
Austria,AUT,Population density (people per sq. km of land area),EN.POP.DNST,108.061136694135
Azerbaijan,AZE,People practicing open defecation (% of population),SH.STA.ODFC.ZS,..
Azerbaijan,AZE,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,..
Azerbaijan,AZE,Net migration,SM.POP.NETM,..
Azerbaijan,AZE,Population growth (annual %),SP.POP.GROW,0.852605731702236
Azerbaijan,AZE,Population density (people per sq. km of land area),EN.POP.DNST,122.318532678394
"Bahamas, The",BHS,People practicing open defecation (% of population),SH.STA.ODFC.ZS,..
"Bahamas, The",BHS,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,..
"Bahamas, The",BHS,Net migration,SM.POP.NETM,..
"Bahamas, The",BHS,Population growth (annual %),SP.POP.GROW,0.961253495469737
"Bahamas, The",BHS,Population density (people per sq. km of land area),EN.POP.DNST,39.2855144855145
Bahrain,BHR,People practicing open defecation (% of population),SH.STA.ODFC.ZS,0
Bahrain,BHR,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,..
Bahrain,BHR,Net migration,SM.POP.NETM,..
Bahrain,BHR,Population growth (annual %),SP.POP.GROW,3.61532480809725
Bahrain,BHR,Population density (people per sq. km of land area),EN.POP.DNST,2181.51666666667
Bangladesh,BGD,People practicing open defecation (% of population),SH.STA.ODFC.ZS,0
Bangladesh,BGD,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,..
Bangladesh,BGD,Net migration,SM.POP.NETM,..
Bangladesh,BGD,Population growth (annual %),SP.POP.GROW,1.00277418143487
Bangladesh,BGD,Population density (people per sq. km of land area),EN.POP.DNST,1265.18693247292
Barbados,BRB,People practicing open defecation (% of population),SH.STA.ODFC.ZS,..
Barbados,BRB,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,..
Barbados,BRB,Net migration,SM.POP.NETM,..
Barbados,BRB,Population growth (annual %),SP.POP.GROW,0.121868007673422
Barbados,BRB,Population density (people per sq. km of land area),EN.POP.DNST,668.304651162791
Belarus,BLR,People practicing open defecation (% of population),SH.STA.ODFC.ZS,0
Belarus,BLR,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,..
Belarus,BLR,Net migration,SM.POP.NETM,..
Belarus,BLR,Population growth (annual %),SP.POP.GROW,-0.201820684328915
Belarus,BLR,Population density (people per sq. km of land area),EN.POP.DNST,46.304369888659
Belgium,BEL,People practicing open defecation (% of population),SH.STA.ODFC.ZS,0
Belgium,BEL,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,..
Belgium,BEL,Net migration,SM.POP.NETM,..
Belgium,BEL,Population growth (annual %),SP.POP.GROW,0.581620792438621
Belgium,BEL,Population density (people per sq. km of land area),EN.POP.DNST,381.637945838838
Belize,BLZ,People practicing open defecation (% of population),SH.STA.ODFC.ZS,0.56936533
Belize,BLZ,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,..
Belize,BLZ,Net migration,SM.POP.NETM,..
Belize,BLZ,Population growth (annual %),SP.POP.GROW,1.84529559225359
Belize,BLZ,Population density (people per sq. km of land area),EN.POP.DNST,17.4318719859711
Benin,BEN,People practicing open defecation (% of population),SH.STA.ODFC.ZS,51.57581613
Benin,BEN,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,..
Benin,BEN,Net migration,SM.POP.NETM,..
Benin,BEN,Population growth (annual %),SP.POP.GROW,2.69237381344614
Benin,BEN,Population density (people per sq. km of land area),EN.POP.DNST,107.513284852785
Bermuda,BMU,People practicing open defecation (% of population),SH.STA.ODFC.ZS,0
Bermuda,BMU,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,..
Bermuda,BMU,Net migration,SM.POP.NETM,..
Bermuda,BMU,Population growth (annual %),SP.POP.GROW,-0.0156474933035009
Bermuda,BMU,Population density (people per sq. km of land area),EN.POP.DNST,1183.38888888889
Bhutan,BTN,People practicing open defecation (% of population),SH.STA.ODFC.ZS,0
Bhutan,BTN,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,..
Bhutan,BTN,Net migration,SM.POP.NETM,..
Bhutan,BTN,Population growth (annual %),SP.POP.GROW,1.11006114109419
Bhutan,BTN,Population density (people per sq. km of land area),EN.POP.DNST,20.2310435238595
Bolivia,BOL,People practicing open defecation (% of population),SH.STA.ODFC.ZS,9.793308479
Bolivia,BOL,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,..
Bolivia,BOL,Net migration,SM.POP.NETM,..
Bolivia,BOL,Population growth (annual %),SP.POP.GROW,1.37952758307147
Bolivia,BOL,Population density (people per sq. km of land area),EN.POP.DNST,10.7754352441614
Bosnia and Herzegovina,BIH,People practicing open defecation (% of population),SH.STA.ODFC.ZS,..
Bosnia and Herzegovina,BIH,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,..
Bosnia and Herzegovina,BIH,Net migration,SM.POP.NETM,..
Bosnia and Herzegovina,BIH,Population growth (annual %),SP.POP.GROW,-0.613297985300864
Bosnia and Herzegovina,BIH,Population density (people per sq. km of land area),EN.POP.DNST,64.07841796875
Botswana,BWA,People practicing open defecation (% of population),SH.STA.ODFC.ZS,9.81037702
Botswana,BWA,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,..
Botswana,BWA,Net migration,SM.POP.NETM,..
Botswana,BWA,Population growth (annual %),SP.POP.GROW,2.05887502746375
Botswana,BWA,Population density (people per sq. km of land area),EN.POP.DNST,4.14946270710921
Brazil,BRA,People practicing open defecation (% of population),SH.STA.ODFC.ZS,0.30412818
Brazil,BRA,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,..
Brazil,BRA,Net migration,SM.POP.NETM,..
Brazil,BRA,Population growth (annual %),SP.POP.GROW,0.712872791114979
Brazil,BRA,Population density (people per sq. km of land area),EN.POP.DNST,25.4314248146119
British Virgin Islands,VGB,People practicing open defecation (% of population),SH.STA.ODFC.ZS,..
British Virgin Islands,VGB,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,..
British Virgin Islands,VGB,Net migration,SM.POP.NETM,..
British Virgin Islands,VGB,Population growth (annual %),SP.POP.GROW,0.676956293539422
British Virgin Islands,VGB,Population density (people per sq. km of land area),EN.POP.DNST,201.58
Brunei Darussalam,BRN,People practicing open defecation (% of population),SH.STA.ODFC.ZS,..
Brunei Darussalam,BRN,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,..
Brunei Darussalam,BRN,Net migration,SM.POP.NETM,..
Brunei Darussalam,BRN,Population growth (annual %),SP.POP.GROW,0.961675067594484
Brunei Darussalam,BRN,Population density (people per sq. km of land area),EN.POP.DNST,83.0138519924099
Bulgaria,BGR,People practicing open defecation (% of population),SH.STA.ODFC.ZS,0
Bulgaria,BGR,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,..
Bulgaria,BGR,Net migration,SM.POP.NETM,..
Bulgaria,BGR,Population growth (annual %),SP.POP.GROW,-0.697303108247042
Bulgaria,BGR,Population density (people per sq. km of land area),EN.POP.DNST,63.8106853352985
Burkina Faso,BFA,People practicing open defecation (% of population),SH.STA.ODFC.ZS,39.92080249
Burkina Faso,BFA,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,..
Burkina Faso,BFA,Net migration,SM.POP.NETM,..
Burkina Faso,BFA,Population growth (annual %),SP.POP.GROW,2.82323073597345
Burkina Faso,BFA,Population density (people per sq. km of land area),EN.POP.DNST,76.4008698830409
Burundi,BDI,People practicing open defecation (% of population),SH.STA.ODFC.ZS,2.584831222
Burundi,BDI,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,..
Burundi,BDI,Net migration,SM.POP.NETM,..
Burundi,BDI,Population growth (annual %),SP.POP.GROW,3.07610176014791
Burundi,BDI,Population density (people per sq. km of land area),EN.POP.DNST,463.036643302181
Cabo Verde,CPV,People practicing open defecation (% of population),SH.STA.ODFC.ZS,14.44811122
Cabo Verde,CPV,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,..
Cabo Verde,CPV,Net migration,SM.POP.NETM,..
Cabo Verde,CPV,Population growth (annual %),SP.POP.GROW,1.09448034644791
Cabo Verde,CPV,Population density (people per sq. km of land area),EN.POP.DNST,137.962282878412
Cambodia,KHM,People practicing open defecation (% of population),SH.STA.ODFC.ZS,19.27920294
Cambodia,KHM,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,..
Cambodia,KHM,Net migration,SM.POP.NETM,..
Cambodia,KHM,Population growth (annual %),SP.POP.GROW,1.39996509699246
Cambodia,KHM,Population density (people per sq. km of land area),EN.POP.DNST,94.7143156582823
Cameroon,CMR,People practicing open defecation (% of population),SH.STA.ODFC.ZS,5.545893782
Cameroon,CMR,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,..
Cameroon,CMR,Net migration,SM.POP.NETM,..
Cameroon,CMR,Population growth (annual %),SP.POP.GROW,2.55430999948549
Cameroon,CMR,Population density (people per sq. km of land area),EN.POP.DNST,56.1567641894608
